frame_idx,time_s,x_px,y_px,radius_px,X_m,Y_m,Z_m,distance_m
102,3.4,568,163,11,0.88,-1.07,6.0,6.15786488971624
103,3.433333333333333,572,162,11,0.92,-1.08,6.0,6.165452132650127
104,3.466666666666667,576,162,11,0.96,-1.08,6.0,6.17154761789942
105,3.5,580,161,11,1.0,-1.09,6.0,6.179652093767092
106,3.533333333333333,583,161,11,1.03,-1.09,6.0,6.184577592689738
107,3.566666666666667,588,162,11,1.08,-1.08,6.0,6.191348802966927
108,3.6,591,162,11,1.11,-1.08,6.0,6.196652322020334
109,3.6333333333333333,595,163,10,1.265,-1.1769999999999998,6.6,6.822430212175131
110,3.6666666666666665,598,163,11,1.18,-1.07,6.0,6.207841814994967
111,3.7,600,163,11,1.2,-1.07,6.0,6.211674492437607
112,3.7333333333333334,601,164,11,1.21,-1.06,6.0,6.211899870410018
