frame_idx,time_s,u_px,v_px,r_px,X_m,Y_m,Z_m,distance_m,Vx_m_s,Vy_m_s,Vz_m_s,V_m_s
191,6.3667,782,447,30,0.520667,0.319000,3.414421,3.468591,-2.245517,1.035517,-3.532160,4.311705
192,6.4000,768,458,31,0.454194,0.347742,3.304279,3.353427,-1.994194,0.862258,-3.304279,3.954561
193,6.4333,756,471,31,0.411613,0.393871,3.304279,3.353031,-1.277419,1.383871,0.000000,1.883321
194,6.4667,743,484,32,0.354062,0.426250,3.201020,3.248627,-1.726512,0.971371,-3.097761,3.677027
195,6.5000,731,499,33,0.303333,0.463333,3.104019,3.153034,-1.521875,1.112500,-2.910018,3.467271
196,6.5333,717,515,35,0.242000,0.487143,2.926647,2.976766,-1.840000,0.714286,-5.321176,5.675449
197,6.5667,701,531,36,0.186389,0.522500,2.845351,2.898926,-1.668333,1.060714,-2.438872,3.139514
198,6.6000,686,550,38,0.133158,0.550000,2.695596,2.754354,-1.596930,0.825000,-4.492659,4.838884
199,6.6333,669,569,39,0.081795,0.589487,2.626478,2.693060,-1.540891,1.184615,-2.073535,2.842043
200,6.6667,650,590,41,0.026829,0.617073,2.498357,2.573575,-1.648968,0.827580,-3.843626,4.263502
201,6.7000,631,614,44,-0.022500,0.635000,2.328014,2.413169,-1.479878,0.537805,-5.110276,5.347354
202,6.7333,610,638,46,-0.071739,0.664783,2.226796,2.325017,-1.477174,0.893478,-3.036541,3.492982
203,6.7667,588,663,49,-0.116735,0.680204,2.090462,2.201439,-1.349867,0.462644,-4.090034,4.331808
204,6.8000,570,692,48,-0.160417,0.760833,2.134013,2.271258,-1.310459,2.418878,1.306539,3.045540
205,6.8333,563,698,40,-0.211750,0.929500,2.560816,2.732506,-1.540000,5.060000,12.804079,13.853507
206,6.8667,543,710,23,-0.463913,1.673913,4.453593,4.780344,-7.564891,22.332391,56.783309,61.484205
207,6.9000,,,,,,,,,,,
208,6.9333,,,,,,,,,,,
209,6.9667,,,,,,,,,,,
210,7.0000,,,,,,,,,,,
211,7.0333,,,,,,,,,,,
212,7.0667,,,,,,,,,,,
213,7.1000,,,,,,,,,,,
214,7.1333,,,,,,,,,,,
215,7.1667,,,,,,,,,,,
216,7.2000,,,,,,,,,,,
217,7.2333,,,,,,,,,,,
218,7.2667,,,,,,,,,,,
219,7.3000,,,,,,,,,,,
220,7.3333,,,,,,,,,,,
221,7.3667,,,,,,,,,,,
222,7.4000,,,,,,,,,,,
223,7.4333,,,,,,,,,,,
224,7.4667,,,,,,,,,,,
225,7.5000,,,,,,,,,,,
226,7.5333,,,,,,,,,,,
227,7.5667,,,,,,,,,,,
228,7.6000,,,,,,,,,,,
229,7.6333,,,,,,,,,,,
