frame_idx,time_s,u_px,v_px,r_px,X_m,Y_m,Z_m,distance_m
137,4.5667,697,221,14,0.447857,-1.092143,7.316617,7.411224
138,4.6000,697,220,13,0.482308,-1.184615,7.879434,7.982569
139,4.6333,693,222,14,0.416429,-1.084286,7.316617,7.408237
140,4.6667,695,222,14,0.432143,-1.084286,7.316617,7.409137
141,4.7000,688,222,13,0.406154,-1.167692,7.879434,7.975835
142,4.7333,690,221,14,0.392857,-1.092143,7.316617,7.408103
143,4.7667,688,222,14,0.377143,-1.084286,7.316617,7.406132
144,4.8000,690,222,14,0.392857,-1.084286,7.316617,7.406949
145,4.8333,688,222,14,0.377143,-1.084286,7.316617,7.406132
146,4.8667,691,222,14,0.400714,-1.084286,7.316617,7.407370
147,4.9000,691,222,14,0.400714,-1.084286,7.316617,7.407370
148,4.9333,694,221,14,0.424286,-1.092143,7.316617,7.409836
149,4.9667,695,221,14,0.432143,-1.092143,7.316617,7.410291
150,5.0000,698,222,14,0.455714,-1.084286,7.316617,7.410549
151,5.0333,701,222,14,0.479286,-1.084286,7.316617,7.412036
152,5.0667,706,221,14,0.518571,-1.092143,7.316617,7.415833
153,5.1000,710,221,14,0.550000,-1.092143,7.316617,7.418097
154,5.1333,717,221,14,0.605000,-1.092143,7.316617,7.422377
155,5.1667,723,220,14,0.652143,-1.100000,7.316617,7.427528
156,5.2000,732,220,13,0.778462,-1.184615,7.879434,8.005922
157,5.2333,736,219,14,0.754286,-1.107857,7.316617,7.438358
158,5.2667,741,217,15,0.740667,-1.048667,6.828842,6.948480
159,5.3000,750,217,15,0.806667,-1.048667,6.828842,6.955825
160,5.3333,755,218,15,0.843333,-1.041333,6.828842,6.959071
161,5.3667,764,221,17,0.802353,-0.899412,6.025449,6.144815
162,5.4000,767,229,15,0.931333,-0.960667,6.828842,6.958689
163,5.4333,780,235,15,1.026667,-0.916667,6.828842,6.966162
164,5.4667,786,240,16,1.003750,-0.825000,6.402040,6.532553
165,5.5000,798,245,17,1.022353,-0.744118,6.025449,6.156700
166,5.5333,807,248,16,1.148125,-0.770000,6.402040,6.549596
167,5.5667,820,254,17,1.164706,-0.685882,6.025449,6.175193
168,5.6000,835,261,18,1.191667,-0.605000,5.690702,5.845527
169,5.6333,849,267,18,1.277222,-0.568333,5.690702,5.859897
170,5.6667,864,273,18,1.368889,-0.531667,5.690702,5.877126
171,5.7000,883,281,19,1.406842,-0.457368,5.391191,5.590468
172,5.7333,896,286,20,1.408000,-0.407000,5.121632,5.327216
173,5.7667,914,292,20,1.507000,-0.374000,5.121632,5.351826
174,5.8000,925,299,20,1.567500,-0.335500,5.121632,5.366631
175,5.8333,940,307,21,1.571429,-0.277619,4.877745,5.132139
176,5.8667,942,315,22,1.510000,-0.225000,4.656029,4.899932
177,5.9000,946,322,23,1.463478,-0.181739,4.453593,4.691406
178,5.9333,943,330,23,1.449130,-0.143478,4.453593,4.685622
179,5.9667,941,338,24,1.379583,-0.100833,4.268026,4.486588
180,6.0000,932,346,24,1.338333,-0.064167,4.268026,4.473400
181,6.0333,924,353,25,1.249600,-0.030800,4.097305,4.283732
182,6.0667,912,360,25,1.196800,0.000000,4.097305,4.268518
183,6.1000,898,367,25,1.135200,0.030800,4.097305,4.251769
184,6.1333,886,377,26,1.040769,0.071923,3.939717,4.075505
185,6.1667,871,387,26,0.977308,0.114231,3.939717,4.060732
186,6.2000,857,394,27,0.884074,0.138519,3.793801,3.897910
187,6.2333,841,405,27,0.818889,0.183333,3.793801,3.885501
188,6.2667,826,412,28,0.730714,0.204286,3.658308,3.736161
189,6.3000,811,423,28,0.671786,0.247500,3.658308,3.727703
190,6.3333,797,435,29,0.595517,0.284483,3.532160,3.593289
191,6.3667,782,447,30,0.520667,0.319000,3.414421,3.468591
192,6.4000,768,458,31,0.454194,0.347742,3.304279,3.353427
193,6.4333,756,471,31,0.411613,0.393871,3.304279,3.353031
194,6.4667,743,484,32,0.354062,0.426250,3.201020,3.248627
195,6.5000,731,499,33,0.303333,0.463333,3.104019,3.153034
196,6.5333,717,515,35,0.242000,0.487143,2.926647,2.976766
197,6.5667,701,531,36,0.186389,0.522500,2.845351,2.898926
198,6.6000,686,550,38,0.133158,0.550000,2.695596,2.754354
199,6.6333,669,569,39,0.081795,0.589487,2.626478,2.693060
200,6.6667,650,590,41,0.026829,0.617073,2.498357,2.573575
201,6.7000,631,614,44,-0.022500,0.635000,2.328014,2.413169
202,6.7333,610,638,46,-0.071739,0.664783,2.226796,2.325017
203,6.7667,588,663,49,-0.116735,0.680204,2.090462,2.201439
204,6.8000,570,692,48,-0.160417,0.760833,2.134013,2.271258
205,6.8333,563,698,40,-0.211750,0.929500,2.560816,2.732506
206,6.8667,543,710,23,-0.463913,1.673913,4.453593,4.780344
207,6.9000,,,,,,,
208,6.9333,,,,,,,
209,6.9667,,,,,,,
210,7.0000,,,,,,,
211,7.0333,,,,,,,
212,7.0667,,,,,,,
213,7.1000,,,,,,,
214,7.1333,,,,,,,
215,7.1667,,,,,,,
216,7.2000,,,,,,,
217,7.2333,,,,,,,
218,7.2667,,,,,,,
219,7.3000,,,,,,,
220,7.3333,,,,,,,
221,7.3667,,,,,,,
222,7.4000,,,,,,,
223,7.4333,,,,,,,
224,7.4667,,,,,,,
225,7.5000,,,,,,,
226,7.5333,,,,,,,
227,7.5667,,,,,,,
228,7.6000,,,,,,,
229,7.6333,,,,,,,
230,7.6667,,,,,,,
231,7.7000,,,,,,,
232,7.7333,,,,,,,
233,7.7667,,,,,,,
234,7.8000,,,,,,,
235,7.8333,,,,,,,
236,7.8667,,,,,,,
237,7.9000,,,,,,,
238,7.9333,,,,,,,
239,7.9667,,,,,,,
240,8.0000,,,,,,,
241,8.0333,,,,,,,
242,8.0667,,,,,,,
243,8.1000,,,,,,,
244,8.1333,,,,,,,
245,8.1667,,,,,,,
246,8.2000,,,,,,,
247,8.2333,,,,,,,
248,8.2667,,,,,,,
249,8.3000,,,,,,,
250,8.3333,,,,,,,
251,8.3667,,,,,,,
252,8.4000,,,,,,,
253,8.4333,,,,,,,
254,8.4667,,,,,,,
255,8.5000,,,,,,,
256,8.5333,,,,,,,
257,8.5667,,,,,,,
258,8.6000,,,,,,,
259,8.6333,,,,,,,
260,8.6667,,,,,,,
261,8.7000,,,,,,,
262,8.7333,,,,,,,
263,8.7667,,,,,,,
264,8.8000,,,,,,,
265,8.8333,,,,,,,
266,8.8667,,,,,,,
267,8.9000,,,,,,,
268,8.9333,,,,,,,
269,8.9667,,,,,,,
270,9.0000,,,,,,,
271,9.0333,,,,,,,
272,9.0667,,,,,,,
273,9.1000,,,,,,,
274,9.1333,,,,,,,
275,9.1667,,,,,,,
276,9.2000,,,,,,,
277,9.2333,,,,,,,
278,9.2667,,,,,,,
279,9.3000,,,,,,,
280,9.3333,,,,,,,
281,9.3667,,,,,,,
282,9.4000,,,,,,,
283,9.4333,,,,,,,
284,9.4667,,,,,,,
285,9.5000,,,,,,,
286,9.5333,,,,,,,
287,9.5667,,,,,,,
288,9.6000,,,,,,,
289,9.6333,,,,,,,
290,9.6667,,,,,,,
291,9.7000,,,,,,,
292,9.7333,,,,,,,
293,9.7667,,,,,,,
294,9.8000,,,,,,,
295,9.8333,,,,,,,
296,9.8667,,,,,,,
297,9.9000,,,,,,,
298,9.9333,,,,,,,
299,9.9667,,,,,,,
300,10.0000,,,,,,,
301,10.0333,,,,,,,
302,10.0667,,,,,,,
303,10.1000,,,,,,,
304,10.1333,,,,,,,
305,10.1667,,,,,,,
306,10.2000,,,,,,,
307,10.2333,,,,,,,
308,10.2667,,,,,,,
309,10.3000,,,,,,,
310,10.3333,,,,,,,
311,10.3667,,,,,,,
312,10.4000,,,,,,,
313,10.4333,,,,,,,
314,10.4667,,,,,,,
315,10.5000,,,,,,,
316,10.5333,,,,,,,
317,10.5667,,,,,,,
318,10.6000,,,,,,,
319,10.6333,,,,,,,
320,10.6667,,,,,,,
321,10.7000,,,,,,,
322,10.7333,,,,,,,
323,10.7667,,,,,,,
324,10.8000,,,,,,,
325,10.8333,,,,,,,
326,10.8667,,,,,,,
327,10.9000,,,,,,,
328,10.9333,,,,,,,
329,10.9667,,,,,,,
330,11.0000,,,,,,,
331,11.0333,,,,,,,
332,11.0667,,,,,,,
333,11.1000,,,,,,,
334,11.1333,,,,,,,
335,11.1667,,,,,,,
336,11.2000,,,,,,,
337,11.2333,,,,,,,
338,11.2667,,,,,,,
339,11.3000,,,,,,,
340,11.3333,,,,,,,
341,11.3667,,,,,,,
342,11.4000,,,,,,,
343,11.4333,,,,,,,
344,11.4667,,,,,,,
345,11.5000,,,,,,,
346,11.5333,,,,,,,
347,11.5667,,,,,,,
348,11.6000,,,,,,,
349,11.6333,,,,,,,
350,11.6667,,,,,,,
351,11.7000,,,,,,,
352,11.7333,,,,,,,
353,11.7667,,,,,,,
354,11.8000,,,,,,,
355,11.8333,,,,,,,
356,11.8667,,,,,,,
357,11.9000,,,,,,,
358,11.9333,,,,,,,
359,11.9667,,,,,,,
360,12.0000,,,,,,,
361,12.0333,,,,,,,
362,12.0667,,,,,,,
363,12.1000,,,,,,,
364,12.1333,,,,,,,
365,12.1667,,,,,,,
366,12.2000,,,,,,,
367,12.2333,,,,,,,
368,12.2667,,,,,,,
369,12.3000,,,,,,,
370,12.3333,,,,,,,
371,12.3667,,,,,,,
372,12.4000,,,,,,,
373,12.4333,,,,,,,
374,12.4667,,,,,,,
375,12.5000,,,,,,,
376,12.5333,,,,,,,
377,12.5667,,,,,,,
378,12.6000,,,,,,,
379,12.6333,332,716,28,-1.210000,1.398571,3.658308,4.099186
380,12.6667,366,704,33,-0.913333,1.146667,3.104019,3.432777
381,12.7000,382,697,40,-0.709500,0.926750,2.560816,2.814255
382,12.7333,391,693,44,-0.622500,0.832500,2.328014,2.549552
383,12.7667,407,681,47,-0.545319,0.751277,2.179418,2.368892
384,12.8000,424,662,46,-0.516522,0.722174,2.226796,2.397280
385,12.8333,441,647,44,-0.497500,0.717500,2.328014,2.486356
386,12.8667,456,632,43,-0.470698,0.695814,2.382154,2.525940
387,12.9000,471,617,42,-0.442619,0.673095,2.438872,2.568476
388,12.9333,484,604,41,-0.418537,0.654634,2.498357,2.616392
389,12.9667,499,590,40,-0.387750,0.632500,2.560816,2.666118
390,13.0000,512,579,38,-0.370526,0.633947,2.695596,2.793817
391,13.0333,524,567,37,-0.344865,0.615405,2.768450,2.856916
392,13.0667,535,557,37,-0.312162,0.585676,2.768450,2.846889
393,13.1000,547,545,36,-0.284167,0.565278,2.845351,2.914843
